# lats1 lons1 lats2 lon2 drift_m
75.46 128.93 75.47 128.99 1881.47
75.46 129.03 75.47 129.09 1881.46
75.46 129.14 75.47 129.20 1957.80
75.46 129.25 75.46 129.31 1881.44
75.45 129.35 75.46 129.41 1881.44
75.45 129.46 75.46 129.52 1881.43
75.45 129.57 75.46 129.63 1881.42
75.45 129.67 75.45 129.73 1881.41
75.44 129.78 75.45 129.84 1881.40
75.44 129.89 75.45 129.95 1881.39
75.44 129.99 75.45 130.05 1881.38
75.44 130.10 75.44 130.16 1881.37
75.46 127.32 75.32 127.80 20170.34
75.45 127.64 75.33 128.12 19441.46
75.45 128.06 75.46 128.13 2086.00
75.45 128.17 75.45 128.23 1957.75
75.44 128.49 75.45 128.55 1957.73
75.44 128.60 75.45 128.66 1957.72
75.44 128.71 75.45 128.77 1957.72
75.44 128.81 75.44 128.88 2085.94
75.43 128.92 75.44 128.98 1881.36
75.43 129.03 75.44 129.09 1881.35
75.43 129.13 75.44 129.20 2085.92
75.43 129.24 75.44 129.30 1881.33
75.43 129.35 75.43 129.41 1881.32
75.42 129.45 75.43 129.51 1881.32
75.42 129.56 75.43 129.62 1881.31
75.42 129.66 75.43 129.73 1881.30
75.42 129.77 75.42 129.83 1881.29
75.42 129.88 75.42 129.94 1881.28
75.41 129.98 75.42 130.05 1881.27
75.41 130.09 75.42 130.15 1881.26
75.41 130.20 75.42 130.26 1881.25
75.43 127.31 75.30 127.79 20169.12
75.43 127.63 75.30 128.11 19440.30
75.42 128.06 75.43 128.12 1957.64
75.42 128.17 75.43 128.23 1957.64
75.42 128.27 75.43 128.34 2085.86
75.41 128.49 75.42 128.55 1957.61
75.41 128.59 75.42 128.65 1957.61
75.41 128.70 75.42 128.76 1957.60
75.41 128.81 75.42 128.87 2014.34
75.41 128.91 75.41 128.97 1881.24
75.41 129.02 75.41 129.08 1881.24
75.40 129.12 75.41 129.19 2085.79
75.40 129.23 75.41 129.29 1881.22
75.40 129.34 75.41 129.40 1881.21
75.40 129.44 75.40 129.50 1881.20
75.40 129.55 75.40 129.61 1881.19
75.39 129.66 75.40 129.72 1881.18
75.39 129.76 75.40 129.82 1881.18
75.39 129.87 75.40 129.93 1881.17
75.39 129.97 75.39 130.04 1881.16
75.38 130.08 75.39 130.14 1881.15
75.38 130.19 75.39 130.25 1881.14
75.39 128.05 75.40 128.11 1957.52
75.39 128.16 75.40 128.22 1881.18
75.39 128.27 75.40 128.33 2014.26
75.39 128.48 75.40 128.55 2085.72
75.39 128.59 75.39 128.65 1881.15
75.38 128.69 75.39 128.75 1881.15
75.38 128.80 75.39 128.86 1881.14
75.38 128.90 75.39 128.96 1881.13
75.38 129.01 75.39 129.07 1881.12
75.38 129.12 75.38 129.18 1881.12
75.37 129.22 75.38 129.28 1881.11
75.37 129.33 75.38 129.39 1881.10
75.37 129.44 75.38 129.50 1881.09
75.37 129.65 75.37 129.71 1881.07
75.36 129.75 75.37 129.81 1881.06
75.36 129.86 75.37 129.92 1881.05
75.36 129.97 75.37 130.03 1881.04
75.36 130.07 75.36 130.13 1881.03
75.37 127.52 75.24 127.94 18912.04
75.37 128.05 75.38 128.11 1957.41
75.37 128.15 75.37 128.21 1957.40
75.36 128.26 75.37 128.32 1957.39
75.36 128.37 75.37 128.43 2085.60
75.36 128.47 75.37 128.54 2085.59
75.36 128.58 75.37 128.64 1881.04
75.36 128.68 75.36 128.75 1881.03
75.36 128.79 75.36 128.85 1881.03
75.35 128.90 75.36 128.96 2085.56
75.35 129.00 75.36 129.06 1881.01
75.35 129.11 75.36 129.17 1881.00
75.35 129.22 75.36 129.28 1957.32
75.35 129.32 75.35 129.38 1957.31
75.34 129.43 75.35 129.49 1880.98
75.34 129.53 75.35 129.59 1957.30
75.34 129.64 75.35 129.71 2085.49
75.34 129.74 75.34 129.81 1880.95
75.34 129.85 75.34 129.91 1880.94
75.33 129.96 75.34 130.02 1957.26
75.33 130.06 75.34 130.12 1957.25
75.33 130.17 75.34 130.23 1957.24
75.35 127.19 75.23 127.67 19022.33
75.34 128.15 75.35 128.21 1957.28
75.34 128.25 75.35 128.31 1957.28
75.34 128.36 75.34 128.42 1957.27
75.33 128.47 75.34 128.53 1957.26
75.33 128.57 75.34 128.63 1880.93
75.33 128.68 75.34 128.74 1957.25
75.33 128.78 75.34 128.85 2085.44
75.33 128.89 75.33 128.96 2085.43
75.32 129.00 75.33 129.06 1880.90
75.32 129.10 75.33 129.16 1880.89
75.32 129.21 75.33 129.27 1957.21
75.32 129.31 75.33 129.37 1957.20
75.32 129.42 75.33 129.48 1957.19
75.31 129.52 75.32 129.59 1880.85
75.31 129.63 75.32 129.69 1957.17
75.31 129.74 75.32 129.80 1880.84
75.31 129.84 75.32 129.90 1880.83
75.31 129.95 75.31 130.01 1957.14
75.30 130.05 75.31 130.11 1957.13
75.30 130.16 75.31 130.22 1957.12
75.30 130.26 75.31 130.33 1957.11
75.32 127.19 75.19 127.67 20058.49
75.31 127.93 75.32 127.99 1957.18
75.31 128.14 75.32 128.20 1957.16
75.31 128.25 75.32 128.31 1957.16
75.31 128.35 75.32 128.41 1957.15
75.31 128.46 75.31 128.52 1880.82
75.31 128.57 75.31 128.63 1957.14
75.30 128.67 75.31 128.73 1957.13
75.30 128.78 75.31 128.84 2085.32
75.30 128.88 75.31 128.94 1880.79
75.30 128.99 75.31 129.05 1880.78
75.30 129.09 75.30 129.15 1957.10
75.29 129.20 75.30 129.26 1957.09
75.29 129.31 75.30 129.37 1880.76
75.29 129.41 75.30 129.47 1957.07
75.29 129.52 75.30 129.58 1957.06
75.29 129.62 75.29 129.68 1957.05
75.28 129.73 75.29 129.79 1957.04
75.28 129.83 75.29 129.89 1957.03
75.28 129.94 75.29 130.00 1957.02
75.28 130.04 75.28 130.10 1957.01
75.27 130.15 75.28 130.21 1957.00
75.27 130.25 75.28 130.32 1956.99
75.30 127.18 75.16 127.62 19332.77
75.29 127.40 75.19 127.86 17626.25
75.29 127.92 75.30 127.99 1957.06
75.29 128.03 75.29 128.09 1957.05
75.28 128.14 75.29 128.20 1957.05
75.28 128.24 75.29 128.30 1957.04
75.28 128.35 75.29 128.41 1957.03
75.28 128.45 75.29 128.51 1880.71
75.28 128.56 75.29 128.62 1880.70
75.28 128.66 75.28 128.72 1880.69
75.27 128.77 75.28 128.83 1880.69
75.27 128.88 75.28 128.94 1956.99
75.27 128.98 75.28 129.04 1956.99
75.27 129.09 75.28 129.15 1956.98
75.27 129.19 75.28 129.25 1956.97
75.27 129.30 75.27 129.36 1880.64
75.26 129.40 75.27 129.46 2041.47
75.26 129.51 75.27 129.57 2041.46
75.26 129.61 75.27 129.67 1956.93
75.26 129.72 75.27 129.78 1956.92
75.25 129.82 75.26 129.88 1956.91
75.25 129.93 75.26 129.99 1956.90
75.25 130.03 75.26 130.10 1956.89
75.25 130.14 75.26 130.20 1956.88
75.25 130.24 75.25 130.31 1956.87
75.27 127.29 75.15 127.75 18483.81
75.27 127.39 75.17 127.87 17798.80
75.26 127.92 75.27 127.98 1956.94
75.26 128.03 75.27 128.09 1956.93
75.26 128.13 75.27 128.19 1956.93
75.26 128.24 75.26 128.30 1956.92
75.25 128.34 75.26 128.40 1956.91
75.25 128.45 75.26 128.51 1956.91
75.25 128.55 75.26 128.61 1956.90
75.25 128.66 75.26 128.72 1956.89
75.25 128.76 75.26 128.82 1956.88
75.25 128.87 75.25 128.93 1956.88
75.24 128.97 75.25 129.03 1956.87
75.24 129.08 75.25 129.14 1956.86
75.24 129.18 75.25 129.24 1956.85
75.24 129.29 75.25 129.35 2041.35
75.24 129.39 75.25 129.46 2041.34
75.23 129.50 75.24 129.56 2041.33
75.23 129.60 75.24 129.67 2041.32
75.23 129.71 75.24 129.77 2041.31
75.23 129.81 75.24 129.88 2041.30
75.23 129.92 75.23 129.98 1956.78
75.22 130.02 75.23 130.09 1956.77
75.22 130.13 75.23 130.19 1956.76
75.22 130.23 75.23 130.30 1956.75
75.22 130.34 75.22 130.40 1956.74
75.24 127.39 75.13 127.84 17676.97
75.23 127.91 75.24 127.97 1956.82
75.23 128.02 75.24 128.08 1956.82
75.23 128.12 75.24 128.18 1956.81
75.23 128.23 75.24 128.29 1956.80
75.23 128.34 75.24 128.40 1956.80
75.23 128.44 75.23 128.50 1956.79
75.22 128.55 75.23 128.61 1956.78
75.22 128.65 75.23 128.71 1956.77
75.22 128.76 75.23 128.82 1956.77
75.22 128.86 75.23 128.92 1956.76
75.22 128.97 75.23 129.03 1956.75
75.22 129.07 75.22 129.13 1956.74
75.21 129.18 75.22 129.24 1956.73
75.21 129.28 75.22 129.34 2041.23
75.21 129.39 75.22 129.45 2041.22
75.21 129.49 75.22 129.55 2041.21
75.21 129.60 75.22 129.66 2041.20
75.20 129.70 75.21 129.76 2041.19
75.20 129.81 75.21 129.87 2041.18
75.20 129.91 75.21 129.97 1956.67
75.20 130.02 75.20 130.08 1956.66
75.19 130.12 75.20 130.18 1956.65
75.19 130.23 75.20 130.29 1956.63
75.19 130.33 75.20 130.39 1831.79
75.22 127.17 75.09 127.64 18897.16
75.21 127.91 75.22 127.97 1956.70
75.21 128.01 75.21 128.07 1956.70
75.20 128.12 75.21 128.18 1956.69
75.20 128.22 75.21 128.28 1956.68
75.20 128.33 75.21 128.39 1956.68
75.20 128.43 75.21 128.49 1956.67
75.20 128.54 75.21 128.60 1956.66
75.20 128.64 75.20 128.70 1956.65
75.19 128.75 75.20 128.81 1956.65
75.19 128.85 75.20 128.91 1956.64
75.19 128.96 75.20 129.02 1956.63
75.19 129.06 75.20 129.12 1956.62
75.19 129.17 75.20 129.23 1956.61
75.18 129.27 75.19 129.33 2041.10
75.18 129.38 75.19 129.44 2041.09
75.18 129.48 75.19 129.54 1921.75
75.18 129.59 75.19 129.65 2041.08
75.18 129.69 75.18 129.75 1956.57
75.17 129.90 75.18 129.96 1956.55
75.17 130.01 75.18 130.07 1956.54
75.17 130.11 75.18 130.17 1956.53
75.16 130.22 75.17 130.28 1956.52
75.16 130.32 75.17 130.38 1956.50
75.19 127.06 75.09 127.54 17647.65
75.18 127.80 75.19 127.86 1956.59
75.18 127.90 75.19 127.96 1956.58
75.18 128.01 75.19 128.07 1956.58
75.18 128.11 75.19 128.17 1956.57
75.18 128.22 75.18 128.28 1956.56
75.17 128.32 75.18 128.38 1956.56
75.17 128.43 75.18 128.49 1956.55
75.17 128.53 75.18 128.59 1956.54
75.17 128.64 75.18 128.70 1956.54
75.17 128.74 75.18 128.80 1956.53
75.17 128.85 75.17 128.91 1956.52
75.16 128.95 75.17 129.02 2164.16
75.16 129.06 75.17 129.12 2041.00
75.16 129.16 75.17 129.22 2040.99
75.16 129.27 75.17 129.33 2040.98
75.16 129.37 75.17 129.43 1921.64
75.15 129.48 75.16 129.53 1921.63
75.15 129.58 75.16 129.64 1956.46
75.15 129.68 75.16 129.74 1921.62
75.15 129.79 75.16 129.84 1831.62
75.15 129.89 75.15 129.95 1831.61
